City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
237,Dunedin,75,NZ,1610999435,83,-45.8742,170.5036,57.0,5.99
238,Mareeba,100,AU,1610999100,83,-17.0,145.4333,77.0,2.3
239,Tuy Hoa,100,VN,1610999669,88,13.0833,109.3,64.98,11.36
240,Bundaberg,86,AU,1610999670,94,-24.85,152.35,73.0,6.91
241,Port Hardy,90,CA,1610999671,93,50.6996,-127.4199,42.8,2.53
242,Najrān,0,SA,1610999163,31,17.4924,44.1277,62.6,1.36
243,Marawi,100,PH,1610999361,93,7.9986,124.2928,73.99,5.01
244,Haines Junction,100,CA,1610999675,86,60.7522,-137.5108,30.2,8.05
245,Saint George,1,US,1610999149,22,37.1041,-113.5841,57.99,4.61
246,Khoy,0,IR,1610999677,71,38.5504,44.9535,37.09,8.52
247,Kobryn,59,BY,1610999678,92,52.2138,24.3564,3.34,4.14
248,San Andrés,20,CO,1610999679,70,12.5847,-81.7006,84.2,13.8
249,Taveta,75,KE,1610999680,83,-3.3963,37.6736,71.6,7.14
250,Latung,100,PH,1610999682,80,5.5,120.8833,80.24,9.04
251,Dudinka,100,RU,1610999683,89,69.4058,86.1778,-13.88,9.04
252,Poyarkovo,0,RU,1610999684,80,49.6,128.6833,-24.39,6.38
253,Iberia,1,US,1610999685,29,29.9502,-91.7507,62.6,6.91
254,Oranjemund,27,NA,1610999686,88,-28.55,16.4333,66.52,9.17
255,Pleszew,99,PL,1610999688,95,51.8964,17.7855,26.01,6.51
256,Asău,75,RO,1610998909,85,46.4333,26.4,5.0,5.75
257,Port Elizabeth,40,ZA,1610999690,88,-33.918,25.5701,68.0,16.11
258,Miragoâne,99,HT,1610999691,68,18.4423,-73.0876,79.77,5.21
259,Lavrentiya,100,RU,1610999146,88,65.5833,-171.0,-11.69,10.13
260,Santa Isabel Rio Negro,58,BR,1610999693,57,-0.4139,-65.0192,89.28,3.8
261,Lüderitz,0,NA,1610999695,84,-26.6481,15.1594,66.25,12.48
262,Torbay,90,CA,1610999696,81,47.6666,-52.7314,41.0,13.8
263,Três Lagoas,99,BR,1610999697,61,-20.7511,-51.6783,84.83,1.88
264,Kuala Terengganu,20,MY,1610999698,78,5.3302,103.1408,77.0,3.44
265,Laguna,1,US,1610999178,15,38.421,-121.4238,70.0,23.02
266,Mandalgovi,95,MN,1610999335,88,45.7625,106.2708,6.15,3.29
267,Sembakung,100,ID,1610999702,97,3.8167,117.25,73.0,1.72
268,Corund,75,RO,1610999714,86,46.4667,25.1833,21.2,2.3
269,Wagar,0,SD,1610999715,78,16.1525,36.2032,64.44,21.14
270,Provideniya,75,RU,1610999717,78,64.3833,-173.3,-2.2,13.42
271,Nanortalik,100,GL,1610999332,84,60.1432,-45.2371,27.86,5.03
272,Fallon,1,US,1610999719,36,39.4735,-118.7774,48.0,8.05
273,Vila Franca do Campo,20,PT,1610999373,88,37.7167,-25.4333,61.0,14.97
274,Broken Hill,0,AU,1610999722,63,-31.95,141.4333,60.8,13.8
275,Lorengau,88,PG,1610999723,80,-2.0226,147.2712,81.81,10.76
276,Paamiut,100,GL,1610999063,83,61.994,-49.6678,28.92,5.73
277,Ginda,0,IN,1610999725,52,30.6945,78.4932,42.4,5.46
278,Pisco,0,PE,1610999215,78,-13.7,-76.2167,73.0,9.22
279,Kirakira,91,SB,1610999727,77,-10.4544,161.9205,81.82,5.93
280,Savannah Bight,90,HN,1610999729,94,16.45,-85.85,80.01,6.91
281,Verkhnyaya Maksakovka,35,RU,1610999730,83,61.635,50.9674,-20.2,2.24
282,Berlevåg,75,NO,1610999731,69,70.8578,29.0864,35.6,24.16
283,Brekstad,0,NO,1610999732,86,63.687,9.6654,34.0,17.27
284,Flinders,98,AU,1610999733,87,-34.5833,150.8552,70.0,1.01
285,Krasnyy Chikoy,0,RU,1610999735,87,50.3643,108.7512,-4.0,2.64
286,Uíge,100,AO,1610999736,81,-7.6087,15.0613,68.43,1.3
287,Chui,0,UY,1610999737,58,-33.6971,-53.4616,71.74,11.54
288,Aykhal,32,RU,1610999248,74,66.0,111.5,-49.29,3.96
289,Morant Bay,20,JM,1610999485,58,17.8815,-76.4093,87.8,3.44
290,Nago,1,JP,1610999740,87,26.5881,127.9761,55.4,8.05
291,Kavaratti,0,IN,1610999741,71,10.5669,72.642,81.37,2.3
292,Porto-Novo,40,BJ,1610999743,79,6.4965,2.6036,84.2,10.36
293,Kununurra,82,AU,1610999744,69,-15.7667,128.7333,82.4,4.61
294,Adré,0,TD,1610999745,22,13.4667,22.2,68.23,14.7
295,Klyuchi,72,RU,1610999746,92,52.2667,79.1667,-2.81,4.79
296,Samfya,100,ZM,1610999747,89,-11.3649,29.5565,68.83,4.14
297,Oktyabr'skiy,100,RU,1610999748,90,54.4815,53.471,-2.2,5.17
298,Pavino,94,RU,1610999749,92,59.1139,46.1414,-4.94,3.53
299,Ahmadpur East,0,PK,1610999751,42,29.1431,71.2598,52.95,8.41
300,Freeport,90,US,1610999635,49,40.6576,-73.5832,46.0,9.22
301,Kaeo,81,NZ,1610999753,83,-35.1,173.7833,68.0,11.01
302,Caravelas,0,BR,1610999754,66,-17.7125,-39.2481,81.63,8.23
303,Nuuk,20,GL,1610999755,50,64.1835,-51.7216,26.6,3.44
304,Ardmore,40,US,1610999757,55,34.1743,-97.1436,62.01,14.97
305,Mogadishu,100,SO,1610999758,74,2.0371,45.3438,77.36,20.98
306,Dingle,100,PH,1610999759,93,10.9995,122.6711,72.99,9.62
307,Pijiño del Carmen,96,CO,1610999760,38,9.3291,-74.453,92.84,3.71
308,Alice Springs,0,AU,1610999761,41,-23.7,133.8833,60.8,8.37
309,Soyo,10,AO,1610999762,77,-6.1349,12.3689,79.83,12.1
310,Frankfort,55,ZA,1610999764,72,-27.2667,28.4833,64.69,11.92
311,Tomatlán,4,MX,1610999765,35,19.9333,-105.25,87.71,8.46
312,Kapit,100,MY,1610999766,94,2.0167,112.9333,73.13,0.27
313,Srednekolymsk,72,RU,1610999181,81,67.45,153.6833,-42.61,2.8
314,Egvekinot,99,RU,1610999768,86,66.3167,-179.1667,-19.05,11.45
315,Uarini,40,BR,1610999769,70,-2.99,-65.1083,87.8,5.75
316,Aiken,1,US,1610999770,32,33.5835,-81.5998,54.0,18.41
317,Lincoln,90,US,1610999594,80,40.8,-96.667,36.0,8.05
318,Maniitsoq,100,GL,1610999773,85,65.4167,-52.9,26.17,5.88
319,Puerto Escondido,2,MX,1610998982,65,15.85,-97.0667,82.47,7.49
320,Kota Belud,20,MY,1610999775,100,6.351,116.4305,73.4,4.45
321,Farafangana,100,MG,1610999777,89,-22.8167,47.8333,75.96,5.61
322,Kloulklubed,90,PW,1610999778,100,7.0419,134.2556,73.4,4.61
323,Koshurnikovo,100,RU,1610999779,98,54.1667,93.3,17.89,4.09
324,Patea,55,NZ,1610999780,88,-39.7583,174.4833,69.01,8.99
325,Kudahuvadhoo,81,MV,1610999781,73,2.6708,72.8944,81.66,8.68
326,Novoaleksandrovsk,100,RU,1610999782,97,45.4948,41.2207,22.3,7.18
327,Chake Chake,100,TZ,1610999784,81,-5.2459,39.7666,79.7,12.53
328,Kiryat Gat,0,IL,1610999785,100,31.61,34.7642,53.01,10.38
329,Bragança,100,BR,1610999786,91,-1.0536,-46.7656,79.32,2.64
330,Kamenka,100,RU,1610999787,88,51.3223,42.7678,6.01,2.06
331,Fort Nelson,20,CA,1610999213,64,58.8053,-122.7002,30.2,5.75
332,Gelemso,11,ET,1610999790,45,8.8167,40.5167,59.94,7.49
333,Cherskiy,57,RU,1610999791,81,68.75,161.3,-41.94,2.37
334,Yerbogachën,100,RU,1610999792,85,61.2767,108.0108,-25.04,7.76
335,Sørland,40,NO,1610999793,80,67.667,12.6934,33.8,8.05
336,Nikšić,0,ME,1610999794,80,42.7731,18.9445,35.6,2.3
337,Fort Saint James,98,CA,1610999795,96,54.4333,-124.25,27.81,2.62
338,Bonthe,54,SL,1610999796,81,7.5264,-12.505,79.09,8.05
339,Omboué,98,GA,1610999798,83,-1.5746,9.2618,78.85,7.34
340,Severo-Yeniseyskiy,100,RU,1610999799,95,60.3725,93.0408,4.41,8.16
341,Shakiso,71,ET,1610999800,34,5.75,38.9167,59.38,3.06
342,Broome,90,US,1610999801,69,42.2506,-75.833,35.01,11.5
343,Salym,80,RU,1610999802,88,60.0625,71.4789,-19.86,6.02
344,Lokosovo,99,RU,1610999804,87,61.1333,74.8167,-18.27,9.42
345,Keetmanshoop,80,NA,1610999805,22,-26.5833,18.1333,84.99,15.01
346,Kahului,75,US,1610999664,68,20.8947,-156.47,73.4,16.11
347,Port Blair,15,IN,1610999808,74,11.6667,92.75,79.11,11.88
